,text
3196,"In answer to our eager questions, one word alone fell, as it were involuntarily, from his convulsed lips: The Plague."
3197,"I shall continue my journal concerning the stranger at intervals, should I have any fresh incidents to record."
3198,"Strange to say the result perhaps of the concussion of air occasioned by the blowing up of the city huge, white thunder clouds lifted themselves up from the southern horizon, and gathered over head; they were the first blots on the blue expanse that I had seen for months, and amidst this havoc and despair they inspired pleasure."
3199,Tears streamed from my eyes.
3200,"I know of no opportunity afforded him for so doing; or, if I had, why should he have stolen the jewel, to part with it again so soon?"
3201,I mentioned this to Perdita.
3202,"The sailors on watch rushed to the side of the vessel, with the cry some one gone overboard."
3203,"When the seasons have become equal, when the air breeds no disorders, when its surface is no longer liable to blights and droughts, then sickness will cease; when men's passions are dead, poverty will depart."
3204,"There was one man, he continued, who wished to alter all this, and bring us back to our days of impotence and contention: one man, who would dare arrogate the honour which was due to all who claimed England as their birthplace, and set his name and style above the name and style of his country."
3205,Her love gave birth to sympathy; her intelligence made her understand him at a word; her powers of intellect enabled her to assist and guide him.
3206,"But an earthquake had changed the scene under our very feet the earth yawned deep and precipitous the gulph below opened to receive us, while the hours charioted us towards the chasm."
3207,"It was as I said, the nineteenth of October; the autumn was far advanced and dreary."
3208,"""Indeed it does, Lionel,"" she replied; ""I quite long to see him; he is the descendant of our kings, the first noble of the land: every one admires and loves him, and they say that his rank is his least merit; he is generous, brave, and affable."""
3209,I rambled amidst the wild scenery of this lovely country and became a complete mountaineer: I passed hours on the steep brow of a mountain that overhung a waterfall or rowed myself in a little skiff to some one of the islands.
3210,"But it was winter now, and months must elapse before we are hurled from our security."
3211,"But that my firm courage and cheerful exertions might shelter the dear mate, whom I chose in the spring of my life; though the throbbings of my heart be replete with pain, though my hopes for the future are chill, still while your dear head, my gentlest love, can repose in peace on that heart, and while you derive from its fostering care, comfort, and hope, my struggles shall not cease, I will not call myself altogether vanquished."
3212,"She told me, that that same evening William had teased her to let him wear a very valuable miniature that she possessed of your mother."
3213,"They should not die first I would be gathered to nothingness, ere infection should come anear these idols of my soul."
3214,"One instance of this kind came immediately under our notice, where a high born girl had in early youth given her heart to one of meaner extraction."
3215,"""This is better, Mamma,"" said Clara, ""than being in that dismal London, where you often cry, and never laugh as you do now."""
3216,"She perished on the scaffold as a murderess From the tortures of my own heart, I turned to contemplate the deep and voiceless grief of my Elizabeth."
3217,"Love had come, as the rod of the master prophet, to swallow up every minor propensity."
3218,"The pause was but for a moment; the flood of association and natural feeling which had been checked, again rushed in full tide upon our hearts, and with tenderest emotion we were swiftly locked in each other's embrace."
3219,"A sister or a brother can never, unless indeed such symptoms have been shown early, suspect the other of fraud or false dealing, when another friend, however strongly he may be attached, may, in spite of himself, be contemplated with suspicion."
3220,"It was after my return from one of these rambles that my father, calling me aside, thus addressed me, ""I am happy to remark, my dear son, that you have resumed your former pleasures and seem to be returning to yourself."
3221,"""The days now passed as peaceably as before, with the sole alteration that joy had taken place of sadness in the countenances of my friends."
3222,"With him went enthusiasm, the high wrought resolve, the eye that without blenching could look at death."
3223,"This ironical tone was discord to my bursting, over boiling heart; I was nettled by his insolence, and replied with bitterness; ""There is a spirit, neither angel or devil, damned to limbo merely."""
3224,"Clara had passed the age which, from its mute ignorance, was the source of the fears of Idris."
3225,"M. Waldman inflicted torture when he praised, with kindness and warmth, the astonishing progress I had made in the sciences."
3226,"She looked at the hand writing, which she could not mistake, and repeated to herself the words ""Do not, I charge you, I entreat you, permit your guests to wonder at my absence:"" the while the old crone going on with her talk, filled her ear with a strange medley of truth and falsehood."
3227,"We feared the balmy air we feared the cloudless sky, the flower covered earth, and delightful woods, for we looked on the fabric of the universe no longer as our dwelling, but our tomb, and the fragrant land smelled to the apprehension of fear like a wide church yard."
3228,Arrived at the same point of the world's age there was no difference in us; the name of parent and child had lost their meaning; young boys and girls were level now with men.
3229,"This winter has been passed most miserably, tortured as I have been by anxious suspense; yet I hope to see peace in your countenance and to find that your heart is not totally void of comfort and tranquillity."
3230,"The road ran by the side of the lake, which became narrower as I approached my native town."
3231,"I distinguished several other words without being able as yet to understand or apply them, such as 'good,' 'dearest,' 'unhappy.'"
3232,"It was one which could not fail to impress itself deeply on my mind, unfolding as it did a number of circumstances, each interesting and wonderful to one so utterly inexperienced as I was."
3233,"The servant instantly showed it to one of the others, who, without saying a word to any of the family, went to a magistrate; and, upon their deposition, Justine was apprehended."
3234,"Encouraged by this encomium, I proceeded, in answer to his inquiries, to relate what I remembered of my parent; and he gave an account of those circumstances which had brought about a neglect of my father's testamentary letter."
3235,This idea was intolerably painful to him.
3236,"No one can conceive the anguish I suffered during the remainder of the night, which I spent, cold and wet, in the open air."
3237,"The veil must be thicker than that invented by Turkish jealousy; the wall higher than the unscaleable tower of Vathek, which should conceal from her the workings of his heart, and hide from her view the secret of his actions."
3238,"When I had ceased to weep reason and memory returned upon me, and I began to reflect with greater calmness on what had happened, and how it became me to act A few hours only had passed but a mighty revolution had taken place with regard to me the natural work of years had been transacted since the morning: my father was as dead to me, and I felt for a moment as if he with white hairs were laid in his coffin and I youth vanished in approaching age, were weeping at his timely dissolution."
3239,"I wish to soothe him, yet can I counsel one so infinitely miserable, so destitute of every hope of consolation, to live?"
3240,"Might he not many, many years hence, when age had quenched the burning sensations that he now experienced, might he not then be again a father to me?"
3241,"When the fever of my young life is spent; when placid age shall tame the vulture that devours me, friendship may come, love and hope being dead."
3242,I cannot say with what passion I loved every thing even the inanimate objects that surrounded me.
3243,It became a question whether he had fallen among the unrecognized; but no broken ornament or stained trapping betrayed his fate.
3244,"He was seldom at the palace; never, but when he was assured that his public duties would prevent his remaining alone with Perdita."
3245,"He had sworn to quit the neighbourhood of man and hide himself in deserts, but she had not; and she, who in all probability was to become a thinking and reasoning animal, might refuse to comply with a compact made before her creation."
3246,You hold forth your hand; it is even as a part of yourself; and you do not yet divide the feeling of identity from the mortal form that shapes forth Lionel.
3247,"Thus I might proclaim myself a madman, but not revoke the sentence passed upon my wretched victim."
3248,"She fell, however, into good hands."
3249,Posterity became my heirs.
3250,These sublime and magnificent scenes afforded me the greatest consolation that I was capable of receiving.
3251,"I continued: ""This poor wretch is deserted, dying, succourless; in these unhappy times, God knows how soon any or all of us may be in like want."
3252,I burned with rage to pursue the murderer of my peace and precipitate him into the ocean.
3253,"His countenance instantly assumed an aspect of the deepest gloom, and he replied, ""To seek one who fled from me."" ""And did the man whom you pursued travel in the same fashion?"""
3254,"And if these were my sensations, who can describe those of Henry?"
3255,"The king, who was a man of excellent dispositions, but easily led, had now become a willing disciple of his imperious consort."
3256,Was the coming painful?
3257,"""I cannot describe to you the agony that these reflections inflicted upon me; I tried to dispel them, but sorrow only increased with knowledge."
3258,"One sheet of white covered it, while bitter recollection told me that cold as the winter clothed earth, were the hearts of the inhabitants."
3259,"They looked at the pictures, strolled into the other apartments, talked of billiards, and one by one vanished."
3260,"When I awoke it rained: I was already quite wet, and my limbs were stiff and my head giddy with the chill of night."
3261,"How kind, how very kind But where is he, why does he not hasten to me?"" My change of manner surprised and pleased the magistrate; perhaps he thought that my former exclamation was a momentary return of delirium, and now he instantly resumed his former benevolence."
3262,"What had been hardly won, was now, entirely possessed, doubly dear."
3263,They left me in an hour's time.
3264,"Through long habit they had become a part of himself; his want of worldly knowledge, his absence of mind and infant guilelessness, made him utterly dependent on them."
3265,"I am already far north of London, and as I walk in the streets of Petersburgh, I feel a cold northern breeze play upon my cheeks, which braces my nerves and fills me with delight."
3266,"All the genius that ennobled the blood of her father illustrated hers; a generous tide flowed in her veins; artifice, envy, or meanness, were at the antipodes of her nature; her countenance, when enlightened by amiable feeling, might have belonged to a queen of nations; her eyes were bright; her look fearless."
3267,From this time a new spirit of life animated the decaying frame of the stranger.
3268,"But the appearance of my father was to me like that of my good angel, and I gradually recovered my health."
3269,She now took pleasure in my society; towards Idris she felt and displayed a full and affectionate sense of her worth she restored to her child in abundant measure her tenderness and care.
3270,"I have one secret, Elizabeth, a dreadful one; when revealed to you, it will chill your frame with horror, and then, far from being surprised at my misery, you will only wonder that I survive what I have endured."
3271,"As manhood dawned upon him, his schemes and theories, far from being changed by personal and prudential motives, acquired new strength from the powers he felt arise within him; and his love for Evadne became deep rooted, as he each day became more certain that the path he pursued was full of difficulty, and that he must seek his reward, not in the applause or gratitude of his fellow creatures, hardly in the success of his plans, but in the approbation of his own heart, and in her love and sympathy, which was to lighten every toil and recompence every sacrifice."
3272,"""My brother,"" she cried, ""protector of my childhood, dear, most dear Lionel, my fate hangs by a thread."
3273,Yet active life was the genuine soil for his virtues; and he sometimes suffered tedium from the monotonous succession of events in our retirement.
3274,"I hastily gave my consent to this arrangement, and as hastily formed a plan through which Perdita should be forced to become my companion."
3275,"I no longer exhaust my miserable heart by bitter tears and frantic complaints; I no longer the sic reproach the sun, the earth, the air, for pain and wretchedness."
3276,"The latter part of his tale had kindled anew in me the anger that had died away while he narrated his peaceful life among the cottagers, and as he said this I could no longer suppress the rage that burned within me."
3277,"The pines are not tall or luxuriant, but they are sombre and add an air of severity to the scene."
3278,In the university whither I was going I must form my own friends and be my own protector.
3279,"The pomp of rank, the assumption of power, the possessions of wealth vanished like morning mist."
3280,This action of Adrian provoked me.
3281,"""When the news reached Leghorn that Felix was deprived of his wealth and rank, the merchant commanded his daughter to think no more of her lover, but to prepare to return to her native country."
3282,"But we must live, and not act our lives; pursuing the shadow, I lost the reality now I renounce both."
3283,"Well, we removed to London, and still I felt only the peace of sinless passion."
3284,"What is it you fear?"" ""Oh Peace, peace, my love,"" replied I; ""this night, and all will be safe; but this night is dreadful, very dreadful."""
3285,"Sometimes he commanded his countenance and tones and related the most horrible incidents with a tranquil voice, suppressing every mark of agitation; then, like a volcano bursting forth, his face would suddenly change to an expression of the wildest rage as he shrieked out imprecations on his persecutor."
3286,"The little patches of snow which yet lingered on the northern sides of the mountains, the lakes, and the dashing of the rocky streams were all familiar and dear sights to me."
3287,"Adrian was on horseback; he rode up to the carriage, and his gaiety, in addition to that of Raymond, dispelled my sister's melancholy."
3288,"Were your sister indeed the insignificant person she deserves to be, I would willingly leave her to the fate, the wretched fate, of the wife of a man, whose very person, resembling as it does his wretched father, ought to remind you of the folly and vice it typifies but remember, Lady Idris, it is not alone the once royal blood of England that colours your veins, you are a Princess of Austria, and every life drop is akin to emperors and kings."
3289,No delay was to ensue.
3290,"Again she looked at the ring, it was a small ruby, almost heart shaped, which she had herself given him."
3291,"The season was May, the weather stormless; we were promised a prosperous voyage."
3292,He might remain in Switzerland and wreak his vengeance on my relatives.
3293,"It was agreed that, immediately after our union, we should proceed to Villa Lavenza and spend our first days of happiness beside the beautiful lake near which it stood."
3294,The sprightly parties broke up they assembled in whispering groups.
3295,My affections were human; hope and love were the day stars of my life.
3296,"Clerval at first attributed my unusual spirits to joy on his arrival, but when he observed me more attentively, he saw a wildness in my eyes for which he could not account, and my loud, unrestrained, heartless laughter frightened and astonished him."
3297,"He quickly arranged with the Turk that if the latter should find a favourable opportunity for escape before Felix could return to Italy, Safie should remain as a boarder at a convent at Leghorn; and then, quitting the lovely Arabian, he hastened to Paris and delivered himself up to the vengeance of the law, hoping to free De Lacey and Agatha by this proceeding."
3298,"With an heavy heart I entered the palace, and stood fearful to advance, to speak, to look."
3299,"Often all sounds were suspended, that we might listen to the nightingale, while the fire flies danced in bright measure, and the soft cooing of the aziolo spoke of fair weather to the travellers."
3300,"But, if you are seen thus strangely circumstanced, dear Idris, even now your enemies may learn your flight too soon: were it not better that I hired the chaise alone?"
3301,Our friend resolved however not to be foiled in his wish.
3302,My senses were gratified and refreshed by a thousand scents of delight and a thousand sights of beauty.
3303,In a moment she was in his arms.
3304,"I dare not hope that I have inspired you with sufficient interest that the thought of me, and the affection that I shall ever bear you, will soften your melancholy and decrease the bitterness of your tears."
3305,"During our stay at Naples, we often returned to this cave, sometimes alone, skimming the sun lit sea, and each time added to our store."
3306,"""Presently two countrymen passed by, but pausing near the cottage, they entered into conversation, using violent gesticulations; but I did not understand what they said, as they spoke the language of the country, which differed from that of my protectors."
3307,"The glare of flames attested the progress of destruction, while, during mingled light and obscurity, the piles around me took gigantic proportions and weird shapes."
3308,"It was spacious, and nearly circular, with a raised seat of stone, about the size of a Grecian couch, at one end."
3309,Two years had now nearly elapsed since the night on which he first received life; and was this his first crime?
3310,"A slight circumstance induced me to alter my usual route, and to return home by Egham and Bishopgate."
3311,"You accuse me of murder, and yet you would, with a satisfied conscience, destroy your own creature."
3312,"I leave a sad and bitter world; and if you remember me and think of me as of one unjustly condemned, I am resigned to the fate awaiting me."
3313,"The christians sought their churches, christian maidens, even at the feast of roses, clad in white, with shining veils, sought, in long procession, the places consecrated to their religion, filling the air with their hymns; while, ever and anon, from the lips of some poor mourner in the crowd, a voice of wailing burst, and the rest looked up, fancying they could discern the sweeping wings of angels, who passed over the earth, lamenting the disasters about to fall on man."
3314,"But the main substance rests on the truths contained in these poetic rhapsodies, and the divine intuition which the Cumaean damsel obtained from heaven."
3315,"The reproaches which agony extorted; or worse, cureless, uncomplaining depression, when his mind was sunk in a torpor, not the less painful because it was silent and moveless."
3316,"Cherishing the most fervent hopes, embarked on the waste ocean, we saw with delight the receding shore of Britain, and on the wings of desire outspeeded our well filled sails towards the South."
3317,Our prime festivals were held in Perdita's cottage; nor were we ever weary of talking of the past or dreaming of the future.
3318,The vacuity his heart endured of any deep interest in life during his long absence from his native country had had a singular effect upon his ideas.
3319,I am in a strange state of mind.
3320,"I passed through scenes familiar to my youth, but which I had not seen for nearly six years."
3321,"This, I thought, was the moment of decision, which was to rob me of or bestow happiness on me forever."
3322,"Soon after, I entered the valley of Chamounix."
3323,"The present season was indeed divine; the flowers of spring bloomed in the hedges, while those of summer were already in bud."
3324,"Women bear with resignation these long drawn ills, but to a man's impatient spirit, the slow motion of our cavalcade, the melancholy repose we took at noon, the perpetual presence of the pall, gorgeous though it was, that wrapt the rifled casket which had contained Raymond, the monotonous recurrence of day and night, unvaried by hope or change, all the circumstances of our march were intolerable."
3325,"Besides, I wish at once to tell you my wishes and expectations, and then never again to revert to so painful a subject."
3326,I called him my friend but I viewed all he did with jealous eyes.
3327,"When unopposed they spread their ravages wide; in cases of danger they clustered, and by dint of numbers overthrew their weak and despairing foes."
3328,"While Merrival was talking, Clara softly opened a door behind Idris, and beckoned me to come with a gesture and look of grief."
3329,"We go on, each thought linked to the one which was its parent, each act to a previous act."
3330,"When he had landed a month ago, the noisy populace had been hushed by sorrow and fear; but this was a festival day to all."
3331,"""The moon had disappeared from the night, and again, with a lessened form, showed itself, while I still remained in the forest."
3332,"Ashy pale, Raymond and Perdita sat apart, looking on with sad smiles."
3333,"Our lives will not be happy, but they will be harmless and free from the misery I now feel."
3334,"""Last Thursday May th, I, my niece, and your two brothers, went to walk in Plainpalais."
3335,"Almost spent, as I was, by fatigue and the dreadful suspense I endured for several hours, this sudden certainty of life rushed like a flood of warm joy to my heart, and tears gushed from my eyes."
3336,Only one dog remained alive; but there was a human being within it whom the sailors were persuading to enter the vessel.
3337,"I have resolved every night, when I am not imperatively occupied by my duties, to record, as nearly as possible in his own words, what he has related during the day."
3338,"But this account, which might as properly belong to a former period of my life as to the present moment, leads me far afield."
3339,"I was easily led by the sympathy which he evinced to use the language of my heart, to give utterance to the burning ardour of my soul and to say, with all the fervour that warmed me, how gladly I would sacrifice my fortune, my existence, my every hope, to the furtherance of my enterprise."
3340,"For a moment the poor girl fancied that her mother believed that she had drank poison: she was on the point of springing up; when the Countess, already at a distance from the bed, spoke in a low voice to her companion, and again Idris listened: ""Hasten,"" said she, ""there is no time to lose it is long past eleven; they will be here at five; take merely the clothes necessary for her journey, and her jewel casket."""
3341,This determination soothed me.
3342,"The plague was not in London alone, it was every where it came on us, as Ryland had said, like a thousand packs of wolves, howling through the winter night, gaunt and fierce."
3343,"But like all other gifts of the Creator to Man, she is mortal; her life has attained its last hour."
3344,"We talked of change and active pursuits, but still remained at Windsor, incapable of violating the charm that attached us to our secluded life."
3345,"My imagination hung upon the scene of recognition; his miniature, which I should continually wear exposed on my breast, would be the means and I imaged the moment to my mind a thousand and a thousand times, perpetually varying the circumstances."
3346,"We were all equal now; magnificent dwellings, luxurious carpets, and beds of down, were afforded to all."
3347,I cannot rule myself.
3348,"Having effected the reunion of Raymond and Perdita, I was eager to return to England; but his earnest request, added to awakening curiosity, and an indefinable anxiety to behold the catastrophe, now apparently at hand, in the long drawn history of Grecian and Turkish warfare, induced me to consent to prolong until the autumn, the period of my residence in Greece."
3349,"When I found this, I resolved to quit the place that I had hitherto inhabited, to seek for one where the few wants I experienced would be more easily satisfied."
3350,"But, at this period, the whole scheme of my existence was about to change."
3351,"Above, the leaves of the beech wood cast a flickering shadow on his face, and waved in mournful melody over him I saw all these things and said, ""Aye, this is his grave"" And then I wept aloud, and raised my eyes to heaven to entreat for a respite to my despair and an alleviation for his unnatural suffering the tears that gushed in a warm healing stream from my eyes relieved the burthen that oppressed my heart almost to madness."
3352,"This was the first commencement of my friendship with Adrian, and I must commemorate this day as the most fortunate of my life."
3353,No distinct ideas occupied my mind; all was confused.
3354,"Cursed, cursed be the fiend that brought misery on his grey hairs and doomed him to waste in wretchedness He could not live under the horrors that were accumulated around him; the springs of existence suddenly gave way; he was unable to rise from his bed, and in a few days he died in my arms."
3355,"Yet none of the defaced human forms which I distinguished, could be Raymond; so I turned my eyes away, while my heart sickened within me."
3356,"As the images that floated before me became more distinct, I grew feverish; a darkness pressed around me; no one was near me who soothed me with the gentle voice of love; no dear hand supported me."
3357,"A ghastly grin wrinkled his lips as he gazed on me, where I sat fulfilling the task which he had allotted to me."
3358,There only remained a resolution to return to my ancient studies and to devote myself to a science for which I believed myself to possess a natural talent.
3359,"I am about to leave thee; soon this living spirit which is ever busy among strange shapes and ideas, which belong not to thee, soon it will have flown to other regions and this emaciated body will rest insensate on thy bosom ""Rolled round in earth's diurnal course With rocks, and stones, and trees."
3360,"I will put you in safety meanwhile, and return to you immediately."""
3361,"He has frequently conversed with me on mine, which I have communicated to him without disguise."
3362,How shall I relate the catastrophe to so much joy; but the earth would not be the earth it is covered with blight and sorrow if one such pair as these angelic creatures had been suffered to exist for one another: search through the world and you will not find the perfect happiness which their marriage would have caused them to enjoy; there must have been a revolution in the order of things as established among us miserable earth dwellers to have admitted of such consummate joy.
3363,"These feelings are transitory; each day of expectation delayed fills them with fear, and I almost dread a mutiny caused by this despair."
3364,What do you demand of your captain?
3365,"Take care of her and cherish her: one day I may claim her at your hands; but futurity is dark, make the present happy to her."" My father remained three months at Hamburgh; when he quitted it he changed his name, my aunt could never discover that which he adopted and only by faint hints, could conjecture that he had taken the road of Germany and Hungary to Turkey."
3366,"A woman was sleeping on some straw; she was young, not indeed so beautiful as her whose portrait I held, but of an agreeable aspect and blooming in the loveliness of youth and health."
3367,"I prepared myself for a multitude of reverses; my operations might be incessantly baffled, and at last my work be imperfect, yet when I considered the improvement which every day takes place in science and mechanics, I was encouraged to hope my present attempts would at least lay the foundations of future success."
3368,I broke from the house angry and disturbed and retired to meditate on some other mode of action.
3369,But it was all a dream; no Eve soothed my sorrows nor shared my thoughts; I was alone.
3370,"Our native oak, as his partisans called him, was visited truly by a nipping winter."
3371,"Her head fell on his shoulder, she trembled, alternate changes of fire and ice ran through her limbs: observing her emotion he spoke with softened accents: ""The blow is given."
3372,"It was now deep winter; it had snowed, and was still snowing; the wind whistled in the leafless trees, despoiling them of the white flakes as they fell; its drear moaning, and the continued knocking, mingled wildly with my dreams at length I was wide awake; hastily dressing myself, I hurried to discover the cause of this disturbance, and to open my door to the unexpected visitor."
3373,I feel death to be near at hand and I am calm.
3374,"Miracles were to be wrought in my favour, the machine of social life pushed with vast effort backward."
3375,"Present her with a mirror, in which she may know herself; and, when she is an adept in that necessary but difficult science, she will wonder at her present mistake, and hasten to restore to me, what is by right mine, her forgiveness, her kind thoughts, her love."""
3376,"We will all make it our first care, our dearest task, to contribute to your happiness."""
3377,"After trying vainly to enter the other apartments, he perceived just within the threshold of this one, a pair of small Turkish slippers; the door was ajar, but all was silent within."
3378,"Less wonder far is it, that the garrison, despairing of being able to hold out longer, should take advantage of the negligence of our fleet to escape at once from siege and capture."
3379,I have now mentioned all my studies.
3380,They are gone for ever great as my power is I cannot recall them to you if indeed I wave my wand over you you will fancy that you feel their gentle spirits in the soft air that steals over your cheeks the distant sound of winds waters may image to you their voices which will bid you rejoice for that they live This will not take away your grief but you will shed sweeter tears than those which full of anguish hopelessness now start from your eyes This I can do also can I take you to see many of my provinces my fairy lands which you have not yet visited and whose beauty will while away the heavy time I have many lovely spots under my command which poets of old have visited and have seen those sights the relation of which has been as a revelation to the world many spots I have still in keeping of lovely fields or horrid rocks peopled by the beautiful or the tremendous which I keep in reserve for my future worshippers to one of those whose grim terrors frightened sleep from the eye I formerly led you but you now need more pleasing images although I will not promise you to shew you any new scenes yet if I lead you to one often visited by my followers you will at least see new combinations that will sooth if they do not delight you Follow me Alas I replied when have you found me slow to obey your voice some times indeed I have called you you have not come but when before have I not followed your slightest sign and have left what was either of joy or sorrow in our world to dwell with you in yours till you have dismissed me ever unwilling to depart But now the weight of grief that oppresses me takes from me that lightness which is necessary to follow your quick winged motions alas in the midst of my course one thought would make me droop to the ground while you would outspeed me to your Kingdom of Glory leave me here darkling Ungrateful replied the Spirit Do I not tell you that I will sustain console you My wings shall aid your heavy steps I will command my winds to disperse the mist that over casts you I will lead you to a place where you will not hear laughter that disturbs you or see the sun that dazzles you We will choose some of the most sombre walks of the Elysian fields The Elysian fields I exclaimed with a quick scream shall I then see?
3381,What evil might not happen in the mean time?
3382,"""Nay,"" said my companion, ""I can free you from your present impediment."
3383,"The rain was pouring in torrents, and thick mists hid the summits of the mountains, so that I even saw not the faces of those mighty friends."
3384,Thus although she appeared to be less initiated in the mysteries of life and society than he her knowledge was of a deeper kind and laid on firmer foundations; and if even her beauty and sweetness had not fascinated him her understanding would ever have held his in thrall.
3385,Are these circumstances not dreadful?
3386,"Yet I thank God that I have lived I thank God, that I have beheld his throne, the heavens, and earth, his footstool."
3387,"Thousands died unlamented; for beside the yet warm corpse the mourner was stretched, made mute by death."
3388,My rashness gave the victory in this dreadful fight to the enemy who triumphed over him as he lay fallen and vanquished.
3389,"Again I rose, and exerting all the firmness of which I was master, removed the planks which I had placed before my hovel to conceal my retreat."
3390,"Look in that mirror; when I came your brow was contracted, your eyes deep sunk in your head, your lips quivering; your hands trembled violently when I took them; but now all is tranquil and soft."
3391,"""'They are kind they are the most excellent creatures in the world; but, unfortunately, they are prejudiced against me."
3392,A serene sky and verdant fields filled me with ecstasy.
3393,He excites at once my admiration and my pity to an astonishing degree.
3394,"As you honour me as you worship God, in whose image those also are created as your children and friends are dear to you, shed not a drop of precious human blood."""
3395,These motives urged me to comply with his demand.
3396,"The merry marriage bells rung in my ears; I heard the nation's gratulation which followed the union; the ambitious noble uprose with swift eagle flight, from the lowly ground to regal supremacy and to the love of Idris."
3397,"Compassion swelled his breast; he would see her once again; he would devise some plan for restoring her to society, and the enjoyment of her rank; their separation would then follow, as a matter of course."
3398,"Her mind was of uncommon strength; she could subdue her sensible wants to her mental wishes, and suffer cold, hunger and misery, rather than concede to fortune a contested point."
3399,"I beseech you; by your former love for me now lost, I adjure you to answer that one question."
3400,"""Lionel, you hear: witness for me: persuade your sister to forgive the injury I have done her; persuade her to be mine."""
3401,"Dear Victor, banish these dark passions."
3402,"If I lift up my eyes and see the desart earth, and feel that those dear eyes have spent their mortal lustre, and that those beauteous lips are silent, their ""crimson leaves"" faded, for ever I am mute But you live, my Idris, even now you move before me There was a glade, O reader a grassy opening in the wood; the retiring trees left its velvet expanse as a temple for love; the silver Thames bounded it on one side, and a willow bending down dipt in the water its Naiad hair, dishevelled by the wind's viewless hand."
3403,"He heard my account of the self dissolution of the army with calmness, and then said, ""You know, Verney, my fixed determination not to quit this place, until in the light of day Stamboul is confessedly ours."
3404,"I doubted at first whether I should attempt the creation of a being like myself, or one of simpler organization; but my imagination was too much exalted by my first success to permit me to doubt of my ability to give life to an animal as complex and wonderful as man."
3405,"We saw a great deal of society, and no day passed that my father did not endeavour to embellish by some new enjoyment."
3406,"None had ever before suspected, that power, or the suffrage of the many, could in any manner become dear to him."
3407,"He entered the churches, and foretold to the congregations their speedy removal to the vaults below."
3408,I know not what we are to hope; but there is some good beyond us that we must seek; and that is our earthly task.
3409,There is something at work in my soul which I do not understand.
3410,"An old man sat in it, near a fire, over which he was preparing his breakfast."
3411,"She was submissive to those who held authority over her, but a perpetual cloud dwelt on her brow; she looked as if she expected enmity from every one who approached her, and her actions were instigated by the same feeling."
3412,"I, the offspring of love, the child of the woods, the nursling of Nature's bright self was to submit to this?"
3413,"It was completely dark when I arrived in the environs of Geneva; the gates of the town were already shut; and I was obliged to pass the night at Secheron, a village at the distance of half a league from the city."
3414,"Perdita had arrived with her child at Dartford, weeping and inconsolable."
3415,"Again and again I have passed over in my remembrance the different scenes of my short life: if the world is a stage and I merely an actor on it my part has been strange, and, alas tragical."
3416,"If the study to which you apply yourself has a tendency to weaken your affections and to destroy your taste for those simple pleasures in which no alloy can possibly mix, then that study is certainly unlawful, that is to say, not befitting the human mind."
3417,"In his desire to repair his first losses, my father risked double stakes, and thus incurred a debt of honour he was wholly unable to pay."
3418,"""There is more of what is specious than true in your distinction,"" said my companion."
3419,Does not the plague rage each year in Stamboul?
3420,"""All things go on,"" thought Perdita, ""all things proceed, decay, and perish When noontide has passed, and the weary day has driven her team to their western stalls, the fires of heaven rise from the East, moving in their accustomed path, they ascend and descend the skiey hill."
3421,The latter feeling now predominated.
3422,But there was no remedy.
3423,This short seperation from his companions gave him courage to assert his independance.
3424,"But frost would come at last, and with it a renewal of our lease of earth."
3425,Raymond was actuated by far other feelings.
3426,"At first I attempted to prevent her but she persisted, and entering the room where it lay, hastily examined the neck of the victim, and clasping her hands exclaimed, 'O God I have murdered my darling child' ""She fainted, and was restored with extreme difficulty."
3427,"""It is not from deck,"" said the man at the helm, ""something has been thrown from the aft cabin."""
3428,"Earth is to me a tomb, the firmament a vault, shrouding mere corruption."
3429,"From Derby, still journeying northwards, we passed two months in Cumberland and Westmorland."
3430,"We discussed the best means of preventing infection, and of preserving health and activity in a large city thus afflicted London, for instance."
3431,"I wished to see him again, that I might wreak the utmost extent of abhorrence on his head and avenge the deaths of William and Justine."
3432,Oh Sun how beautiful thou art And how glorious is the golden ocean that receives thee My heart is at peace I feel no sorrow a holy love stills my senses I feel as if my mind also partook of the inexpressible loveliness of surrounding nature What shall I do?
3433,His favourite horse was found grazing by the margin of the tranquil river.
3434,"In his solitary despair Adrian would often seek my sister, and in covered terms express his misery, while fortitude and agony divided the throne of his mind."
3435,But then Perdita thought more constantly of others than he; and part of her bashfulness arose from a wish to take from those around her a sense of inferiority; a feeling which never crossed her mind.
3436,"""I am not mad,"" I cried energetically; ""the sun and the heavens, who have viewed my operations, can bear witness of my truth."
3437,"CHAPTER IV Among our most assiduous visitors was a young man of rank, well informed, and agreable in his person."
3438,"Their yells were drowned in the clamour of elements, and the thunder rivings of their unwieldy habitation they discovered at last that the water gained on them, and they betook themselves to their pumps; they might as well have laboured to empty the ocean by bucketfuls."
3439,"Sometimes I wished to express my sensations in my own mode, but the uncouth and inarticulate sounds which broke from me frightened me into silence again."
3440,"She was too unlike them, too utterly alien to their tastes, for them to find delight in her society, or in the prospect of its continuance, but it gave them pleasure to see her conciliating and kind."
3441,"To be friendless is indeed to be unfortunate, but the hearts of men, when unprejudiced by any obvious self interest, are full of brotherly love and charity."
3442,"Then I spurred on my animal, striving so to forget the world, my fears, and more than all, myself or, in a more desperate fashion, I alighted and threw myself on the grass, weighed down by horror and despair."
3443,A man of this kind was now pouring forth his eloquent despair among the inhabitants of Windsor.
